E01008144,Sheffield 001A,E08000019,Sheffield,Yorkshire and The Humber,725,101,13.9
E01008145,Sheffield 001B,E08000019,Sheffield,Yorkshire and The Humber,723,57,7.9
E01008148,Sheffield 001C,E08000019,Sheffield,Yorkshire and The Humber,647,64,9.9
E01008149,Sheffield 001D,E08000019,Sheffield,Yorkshire and The Humber,665,78,11.7
E01008150,Sheffield 001E,E08000019,Sheffield,Yorkshire and The Humber,645,65,10.1
E01008142,Sheffield 002A,E08000019,Sheffield,Yorkshire and The Humber,632,87,13.8
E01008143,Sheffield 002B,E08000019,Sheffield,Yorkshire and The Humber,786,74,9.4
E01008146,Sheffield 002C,E08000019,Sheffield,Yorkshire and The Humber,531,29,5.5
E01008147,Sheffield 002D,E08000019,Sheffield,Yorkshire and The Humber,622,45,7.2
E01007888,Sheffield 003A,E08000019,Sheffield,Yorkshire and The Humber,561,52,9.3
E01007892,Sheffield 003B,E08000019,Sheffield,Yorkshire and The Humber,646,65,10.1
E01007893,Sheffield 003C,E08000019,Sheffield,Yorkshire and The Humber,634,48,7.6
E01007898,Sheffield 003D,E08000019,Sheffield,Yorkshire and The Humber,626,32,5.1
E01007899,Sheffield 003E,E08000019,Sheffield,Yorkshire and The Humber,620,39,6.3
E01007900,Sheffield 003F,E08000019,Sheffield,Yorkshire and The Humber,772,84,10.9
E01007901,Sheffield 003G,E08000019,Sheffield,Yorkshire and The Humber,723,78,10.8
E01007887,Sheffield 004A,E08000019,Sheffield,Yorkshire and The Humber,614,64,10.4
E01007889,Sheffield 004B,E08000019,Sheffield,Yorkshire and The Humber,"1,059",84,7.9
E01007890,Sheffield 004C,E08000019,Sheffield,Yorkshire and The Humber,595,59,9.9
E01007891,Sheffield 004D,E08000019,Sheffield,Yorkshire and The Humber,668,48,7.2
E01007894,Sheffield 004E,E08000019,Sheffield,Yorkshire and The Humber,647,77,11.9
E01007895,Sheffield 004F,E08000019,Sheffield,Yorkshire and The Humber,654,59,9.0
E01007896,Sheffield 004G,E08000019,Sheffield,Yorkshire and The Humber,557,39,7.0
E01007897,Sheffield 005A,E08000019,Sheffield,Yorkshire and The Humber,630,42,6.7
E01008134,Sheffield 005B,E08000019,Sheffield,Yorkshire and The Humber,624,54,8.7
E01008135,Sheffield 005C,E08000019,Sheffield,Yorkshire and The Humber,771,85,11.0
E01008137,Sheffield 005D,E08000019,Sheffield,Yorkshire and The Humber,633,45,7.1
E01008141,Sheffield 005E,E08000019,Sheffield,Yorkshire and The Humber,677,48,7.1
E01008053,Sheffield 006A,E08000019,Sheffield,Yorkshire and The Humber,575,64,11.1
E01008056,Sheffield 006B,E08000019,Sheffield,Yorkshire and The Humber,603,86,14.3
E01008058,Sheffield 006C,E08000019,Sheffield,Yorkshire and The Humber,630,56,8.9
E01008138,Sheffield 006D,E08000019,Sheffield,Yorkshire and The Humber,639,43,6.7
E01008139,Sheffield 006E,E08000019,Sheffield,Yorkshire and The Humber,716,68,9.5
E01007856,Sheffield 007A,E08000019,Sheffield,Yorkshire and The Humber,550,92,16.7
E01008054,Sheffield 007B,E08000019,Sheffield,Yorkshire and The Humber,543,91,16.8
E01008055,Sheffield 007C,E08000019,Sheffield,Yorkshire and The Humber,614,102,16.6
E01008057,Sheffield 007D,E08000019,Sheffield,Yorkshire and The Humber,607,102,16.8
E01008126,Sheffield 008A,E08000019,Sheffield,Yorkshire and The Humber,653,45,6.9
E01008128,Sheffield 008C,E08000019,Sheffield,Yorkshire and The Humber,734,101,13.8
E01008136,Sheffield 008D,E08000019,Sheffield,Yorkshire and The Humber,591,70,11.8
E01008140,Sheffield 008E,E08000019,Sheffield,Yorkshire and The Humber,858,71,8.3
E01033275,Sheffield 008F,E08000019,Sheffield,Yorkshire and The Humber,663,29,4.4
E01033280,Sheffield 008G,E08000019,Sheffield,Yorkshire and The Humber,611,40,6.5
E01008085,Sheffield 009A,E08000019,Sheffield,Yorkshire and The Humber,627,78,12.4
E01008086,Sheffield 009B,E08000019,Sheffield,Yorkshire and The Humber,585,74,12.6
E01008116,Sheffield 009C,E08000019,Sheffield,Yorkshire and The Humber,562,88,15.7
E01008117,Sheffield 009D,E08000019,Sheffield,Yorkshire and The Humber,563,61,10.8
E01008118,Sheffield 009E,E08000019,Sheffield,Yorkshire and The Humber,624,83,13.3
E01008119,Sheffield 009F,E08000019,Sheffield,Yorkshire and The Humber,476,67,14.1
E01008125,Sheffield 009G,E08000019,Sheffield,Yorkshire and The Humber,622,63,10.1
E01007849,Sheffield 010A,E08000019,Sheffield,Yorkshire and The Humber,875,143,16.3
E01007857,Sheffield 010B,E08000019,Sheffield,Yorkshire and The Humber,659,102,15.5
E01008059,Sheffield 010C,E08000019,Sheffield,Yorkshire and The Humber,640,95,14.8
E01008060,Sheffield 010D,E08000019,Sheffield,Yorkshire and The Humber,634,102,16.1
E01008061,Sheffield 011A,E08000019,Sheffield,Yorkshire and The Humber,658,92,14.0
E01008063,Sheffield 011B,E08000019,Sheffield,Yorkshire and The Humber,712,70,9.8
E01033277,Sheffield 011E,E08000019,Sheffield,Yorkshire and The Humber,969,143,14.8
E01008087,Sheffield 012A,E08000019,Sheffield,Yorkshire and The Humber,678,73,10.8
